winner,turns,white_rating,black_rating,opening_ply,hour_of_day,day_of_week,day_of_month,month,year,game_duration,total_elo,elo_difference
0.0,27.0,1303.0,1104.5,4.166666666666667,3.3333333333333335,3.6666666666666665,2.333333333333333,8.833333333333334,2017.0,0.0,2407.5,198.5
0.0,49.0,1356.0,1207.0,4.333333333333333,2.666666666666667,3.3333333333333335,3.6666666666666665,8.666666666666666,2017.0,0.0,2563.0,149.0
0.0,71.0,1409.0,1309.5,4.5,2.0,3.0,5.0,8.5,2017.0,0.0,2718.5,99.5
0.0,93.0,1462.0,1412.0,4.666666666666667,1.3333333333333335,2.666666666666667,6.333333333333333,8.333333333333334,2017.0,0.0,2874.0,50.0
0.0,115.0,1515.0,1514.5,4.833333333333333,0.6666666666666665,2.333333333333333,7.666666666666667,8.166666666666666,2017.0,0.0,3029.5,0.5
0.0,31.666666666666668,1337.5,1059.1666666666667,9.166666666666666,15.0,0.5,10.0,7.166666666666667,2017.0,0.0,2396.6666666666665,278.3333333333333
0.0,31.333333333333332,1468.0,1140.3333333333333,8.333333333333334,15.0,1.0,10.0,7.333333333333333,2017.0,0.0,2608.3333333333335,327.66666666666663
0.0,31.0,1598.5,1221.5,7.5,15.0,1.5,10.0,7.5,2017.0,0.0,2820.0,377.0
0.0,30.666666666666668,1729.0,1302.6666666666665,6.666666666666667,15.0,2.0,10.0,7.666666666666667,2017.0,0.0,3031.6666666666665,426.3333333333333
0.0,30.333333333333332,1859.5,1383.8333333333335,5.833333333333333,15.0,2.5,10.0,7.833333333333333,2017.0,0.0,3243.3333333333335,475.6666666666667
0.0,115.83333333333333,1771.3333333333333,1756.5,5.0,17.833333333333332,2.5,30.5,8.0,2017.0,0.0,3527.8333333333335,14.833333333333336
0.0,118.66666666666667,1797.6666666666667,1799.0,6.0,18.666666666666668,2.0,30.0,8.0,2017.0,0.0,3596.6666666666665,-1.3333333333333286
0.0,121.5,1824.0,1841.5,7.0,19.5,1.5,29.5,8.0,2017.0,0.0,3665.5,-17.5
0.0,124.33333333333333,1850.3333333333333,1884.0,8.0,20.333333333333332,1.0,29.0,8.0,2017.0,0.0,3734.3333333333335,-33.66666666666666
0.0,127.16666666666667,1876.6666666666667,1926.5,9.0,21.166666666666668,0.5,28.5,8.0,2017.0,0.0,3803.1666666666665,-49.83333333333334
0.0,119.5,1225.6666666666667,1281.3333333333333,7.0,8.0,0.8333333333333333,27.5,7.0,2017.0,0.0,2507.0,-55.66666666666667
0.0,119.0,1312.3333333333333,1350.6666666666667,6.0,8.0,1.6666666666666665,27.0,6.0,2017.0,0.0,2663.0,-38.333333333333336
0.0,118.5,1399.0,1420.0,5.0,8.0,2.5,26.5,5.0,2017.0,0.0,2819.0,-21.0
0.0,118.0,1485.6666666666665,1489.3333333333333,4.0,8.0,3.333333333333333,26.0,4.0,2017.0,0.0,2975.0,-3.6666666666666714
0.0,117.5,1572.3333333333335,1558.6666666666667,3.0,8.0,4.166666666666667,25.5,3.0,2017.0,0.0,3131.0,13.666666666666671
0.0,28.833333333333332,1301.1666666666667,1304.6666666666667,5.333333333333333,18.166666666666668,4.0,15.666666666666668,8.0,2017.0,0.0,2605.8333333333335,-3.5
0.0,45.666666666666664,1387.3333333333333,1390.3333333333333,5.666666666666667,15.333333333333334,4.0,13.333333333333334,8.0,2017.0,0.0,2777.6666666666665,-3.0
0.0,62.5,1473.5,1476.0,6.0,12.5,4.0,11.0,8.0,2017.0,0.0,2949.5,-2.5
0.0,79.33333333333333,1559.6666666666665,1561.6666666666665,6.333333333333333,9.666666666666668,4.0,8.666666666666668,8.0,2017.0,0.0,3121.333333333333,-2.0
0.0,96.16666666666667,1645.8333333333335,1647.3333333333335,6.666666666666667,6.833333333333332,4.0,6.333333333333332,8.0,2017.0,0.0,3293.166666666667,-1.5
